BioProject,Run,Stage exposed,Exposure duration,Photoperiod,Temperature (oC),Sample collection,Replicate,Description,Original publication abbreviation,Condition,Plattaform,Read length,Publication,New abreviation,Sample
PRJNA268379,SRR1664192,Adult,12 days,16L:8D,21,adult females,4,long day without blood meal,LD_NB,non-diapause-inducing,Illumina HiSeq 2000 ,"Paired-end, 100bp","Huang et al, 2015",LD_Unfed,PRJNA268379_SRR1664192
PRJNA268379,SRR1664190,Adult,12 days,16L:8D,21,adult females,3,long day without blood meal,LD_NB,non-diapause-inducing,Illumina HiSeq 2000 ,"Paired-end, 100bp","Huang et al, 2015",LD_Unfed,PRJNA268379_SRR1664190
PRJNA268379,SRR1663916,Adult,12 days,16L:8D,21,adult females,2,long day without blood meal,LD_NB,non-diapause-inducing,Illumina HiSeq 2000 ,"Paired-end, 100bp","Huang et al, 2015",LD_Unfed,PRJNA268379_SRR1663916
PRJNA268379,SRR1663913,Adult,12 days,16L:8D,21,adult females,1,long day without blood meal,LD_NB,non-diapause-inducing,Illumina HiSeq 2000 ,"Paired-end, 100bp","Huang et al, 2015",LD_Unfed,PRJNA268379_SRR1663913
PRJNA268379,SRR1663911,Adult,12 days,16L:8D,21,adult females,4,long day with blood meal,LD_BM,diapause-inducing,Illumina HiSeq 2000 ,"Paired-end, 100bp","Huang et al, 2015",LD_Fed,PRJNA268379_SRR1663911
PRJNA268379,SRR1663843,Adult,12 days,16L:8D,21,adult females,3,long day with blood meal,LD_BM,diapause-inducing,Illumina HiSeq 2000 ,"Paired-end, 100bp","Huang et al, 2015",LD_Fed,PRJNA268379_SRR1663843
PRJNA268379,SRR1663769,Adult,12 days,16L:8D,21,adult females,2,long day with blood meal,LD_BM,diapause-inducing,Illumina HiSeq 2000 ,"Paired-end, 100bp","Huang et al, 2015",LD_Fed,PRJNA268379_SRR1663769
PRJNA268379,SRR1663754,Adult,12 days,16L:8D,21,adult females,1,long day with blood meal,LD_BM,diapause-inducing,Illumina HiSeq 2000 ,"Paired-end, 100bp","Huang et al, 2015",LD_Fed,PRJNA268379_SRR1663754
PRJNA268379,SRR1663709,Adult,12 days,8L:16D,21,adult females,4,short day without blood meal,SD_NB,non-diapause-inducing,Illumina HiSeq 2000 ,"Paired-end, 100bp","Huang et al, 2015",SD_Unfed,PRJNA268379_SRR1663709
PRJNA268379,SRR1663707,Adult,12 days,8L:16D,21,adult females,3,short day without blood meal,SD_NB,non-diapause-inducing,Illumina HiSeq 2000 ,"Paired-end, 100bp","Huang et al, 2015",SD_Unfed,PRJNA268379_SRR1663707
PRJNA268379,SRR1663703,Adult,12 days,8L:16D,21,adult females,2,short day without blood meal,SD_NB,non-diapause-inducing,Illumina HiSeq 2000 ,"Paired-end, 100bp","Huang et al, 2015",SD_Unfed,PRJNA268379_SRR1663703
PRJNA268379,SRR1663700,Adult,12 days,8L:16D,21,adult females,1,short day without blood meal,SD_NB,non-diapause-inducing,Illumina HiSeq 2000 ,"Paired-end, 100bp","Huang et al, 2015",SD_Unfed,PRJNA268379_SRR1663700
PRJNA268379,SRR1663697,Adult,12 days,8L:16D,21,adult females,4,short day with blood meal,SD_BM,diapause-inducing,Illumina HiSeq 2000 ,"Paired-end, 100bp","Huang et al, 2015",SD_Fed,PRJNA268379_SRR1663697
PRJNA268379,SRR1663689,Adult,12 days,8L:16D,21,adult females,3,short day with blood meal,SD_BM,diapause-inducing,Illumina HiSeq 2000 ,"Paired-end, 100bp","Huang et al, 2015",SD_Fed,PRJNA268379_SRR1663689
PRJNA268379,SRR1663687,Adult,12 days,8L:16D,21,adult females,2,short day with blood meal,SD_BM,diapause-inducing,Illumina HiSeq 2000 ,"Paired-end, 100bp","Huang et al, 2015",SD_Fed,PRJNA268379_SRR1663687
PRJNA268379,SRR1663685,Adult,12 days,8L:16D,21,adult females,1,short day with blood meal,SD_BM,diapause-inducing,Illumina HiSeq 2000 ,"Paired-end, 100bp","Huang et al, 2015",SD_Fed,PRJNA268379_SRR1663685
